TC_plate,TC_well,Condition,TimeDays,CPM_in_100_uL_protein_depleted_medium,CPM_in_100_uL_cell_protein_extract,percentage_of_protein_depleted_medium_counted,percentage_of_cell_protein_extract_counted,CPM_ratio_protein_depleted_medium_over_cell_protein,CPM_ratio_protein_depleted_medium_over_total_observed_CPM,X_to_1_coeff_Ci_per_L_to_CPM_protein_depleted_medium,X_to_0_coeff_Ci_per_L_to_CPM_protein_depleted_medium,specific_activity_in_protein_depleted_medium_nanoCi_per_L,activity_in_protein_depleted_medium_picoCi,X_to_1_coeff_Ci_per_L_to_CPM_cell_protein_extract,X_to_0_coeff_Ci_per_L_to_CPM_cell_protein_extract,specific_activity_in_cell_protein_extract_nanoCi_per_L,activity_in_cell_protein_extract_picoCi,curie_ratio_protein_depleted_medium_over_cell_protein,curie_ratio_protein_depleted_medium_over_total_observed_CPM
21,4,DD,2,274,6992,0.181818182,0.666666667,0.143688024,0.125635682,66322046.11,21.95533141,3800.315029,570.0472544,110263860.3,464.2044674,59201.58715,8880.238073,0.06419279,0.060320639
21,5,DD,2,286,7596,0.181818182,0.666666667,0.138055117,0.121307936,66322046.11,21.95533141,3981.250339,597.1875509,110263860.3,464.2044674,64679.35656,9701.903484,0.061553648,0.057984491
21,6,DD,2,318,7265,0.181818182,0.666666667,0.160495526,0.138299134,66322046.11,21.95533141,4463.744501,669.5616751,110263860.3,464.2044674,61677.46637,9251.619956,0.072372371,0.067488098
21,7,D,2,299,7716,0.181818182,0.666666667,0.142085709,0.124408972,66322046.11,21.95533141,4177.263592,626.5895389,110263860.3,464.2044674,65767.65511,9865.148267,0.063515471,0.059722188
21,8,D,2,303,7352,0.181818182,0.666666667,0.151115343,0.131277325,66322046.11,21.95533141,4237.575363,635.6363044,110263860.3,464.2044674,62466.48282,9369.972424,0.067837585,0.063527999
21,9,D,2,327,7508,0.181818182,0.666666667,0.159696324,0.137705295,66322046.11,21.95533141,4599.445983,689.9168975,110263860.3,464.2044674,63881.27095,9582.190642,0.071999914,0.067164104
21,10,D,2,311,7606,0.181818182,0.666666667,0.149925497,0.130378444,66322046.11,21.95533141,4358.198903,653.7298354,110263860.3,464.2044674,64770.0481,9715.507216,0.067287257,0.063045124
21,11,D,2,301,7280,0.181818182,0.666666667,0.151602564,0.131644865,66322046.11,21.95533141,4207.419477,631.1129216,110263860.3,464.2044674,61813.50369,9272.025554,0.068066348,0.063728577
21,12,V,2,257,7319,0.181818182,0.666666667,0.128751651,0.114065526,66322046.11,21.95533141,3543.990006,531.5985009,110263860.3,464.2044674,62167.20072,9325.080108,0.057007392,0.053932823
21,13,DDT,2,284,7547,0.181818182,0.666666667,0.137979771,0.121249757,66322046.11,21.95533141,3951.094454,592.6641682,110263860.3,464.2044674,64234.96798,9635.245197,0.061510025,0.057945778
21,14,DDT,2,289,6904,0.181818182,0.666666667,0.153485902,0.13306266,66322046.11,21.95533141,4026.484167,603.9726251,110263860.3,464.2044674,58403.50155,8760.525232,0.068942513,0.064495997
21,15,DDT,2,283,7387,0.181818182,0.666666667,0.140472,0.123170056,66322046.11,21.95533141,3936.016512,590.4024768,110263860.3,464.2044674,62783.90324,9417.585486,0.062691491,0.058993124
21,16,DDT,2,311,8439,0.181818182,0.666666667,0.135126595,0.119040991,66322046.11,21.95533141,4358.198903,653.7298354,110263860.3,464.2044674,72324.65392,10848.69809,0.060258828,0.056834074
21,17,DDT,2,228,7299,0.181818182,0.666666667,0.114536238,0.102765827,66322046.11,21.95533141,3106.729672,466.0094509,110263860.3,464.2044674,61985.81763,9297.872644,0.050120008,0.047727886
21,18,V,2,286,7548,0.181818182,0.666666667,0.138933051,0.121985266,66322046.11,21.95533141,3981.250339,597.1875509,110263860.3,464.2044674,64244.03713,9636.60557,0.061970737,0.058354468
21,19,DDTTP,2,305,7066,0.181818182,0.666666667,0.158269648,0.13664318,66322046.11,21.95533141,4267.731248,640.1596871,110263860.3,464.2044674,59872.7046,8980.90569,0.071280081,0.066537297
21,20,DDTTP,2,285,7412,0.181818182,0.666666667,0.140987588,0.123566276,66322046.11,21.95533141,3966.172397,594.9258595,110263860.3,464.2044674,63010.6321,9451.594816,0.062944495,0.059217104
